"Target","Path","IdentityMatch","Rights","AccessType","Reason"
"Administrators","C:\TestPermissions","BUILTIN\Administrators","FullControl","Allow","Matched target against ACL identity in scanned scope"
"SYSTEM","C:\TestPermissions","NT AUTHORITY\SYSTEM","FullControl","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Authenticated Users","C:\TestPermissions","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Authenticated Users","C:\TestPermissions","NT AUTHORITY\Authenticated Users","-536805376","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions","NT AUTHORITY\Authenticated Users","-536805376","Allow","Matched target against ACL identity in scanned scope"
"Finance Team","C:\TestPermissions\Finance","Shubh\Finance Team","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Administrators","C:\TestPermissions\Finance","BUILTIN\Administrators","FullControl","Allow","Matched target against ACL identity in scanned scope"
"SYSTEM","C:\TestPermissions\Finance","NT AUTHORITY\SYSTEM","FullControl","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\Finance","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Authenticated Users","C:\TestPermissions\Finance","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\Finance","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Authenticated Users","C:\TestPermissions\Finance","NT AUTHORITY\Authenticated Users","-536805376","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\Finance","NT AUTHORITY\Authenticated Users","-536805376","Allow","Matched target against ACL identity in scanned scope"
"Administrators","C:\TestPermissions\HR","BUILTIN\Administrators","FullControl","Allow","Matched target against ACL identity in scanned scope"
"SYSTEM","C:\TestPermissions\HR","NT AUTHORITY\SYSTEM","FullControl","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\HR","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Authenticated Users","C:\TestPermissions\HR","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\HR","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Authenticated Users","C:\TestPermissions\HR","NT AUTHORITY\Authenticated Users","-536805376","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\HR","NT AUTHORITY\Authenticated Users","-536805376","Allow","Matched target against ACL identity in scanned scope"
"Administrators","C:\TestPermissions\Shared","BUILTIN\Administrators","FullControl","Allow","Matched target against ACL identity in scanned scope"
"SYSTEM","C:\TestPermissions\Shared","NT AUTHORITY\SYSTEM","FullControl","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\Shared","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Authenticated Users","C:\TestPermissions\Shared","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\Shared","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Authenticated Users","C:\TestPermissions\Shared","NT AUTHORITY\Authenticated Users","-536805376","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\Shared","NT AUTHORITY\Authenticated Users","-536805376","Allow","Matched target against ACL identity in scanned scope"
"Finance Team","C:\TestPermissions\Finance\Payroll","Shubh\Finance Team","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Administrators","C:\TestPermissions\Finance\Payroll","BUILTIN\Administrators","FullControl","Allow","Matched target against ACL identity in scanned scope"
"SYSTEM","C:\TestPermissions\Finance\Payroll","NT AUTHORITY\SYSTEM","FullControl","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\Finance\Payroll","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Authenticated Users","C:\TestPermissions\Finance\Payroll","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\Finance\Payroll","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Authenticated Users","C:\TestPermissions\Finance\Payroll","NT AUTHORITY\Authenticated Users","-536805376","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\Finance\Payroll","NT AUTHORITY\Authenticated Users","-536805376","Allow","Matched target against ACL identity in scanned scope"
"Finance Team","C:\TestPermissions\Finance\Reports","Shubh\Finance Team","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Administrators","C:\TestPermissions\Finance\Reports","BUILTIN\Administrators","FullControl","Allow","Matched target against ACL identity in scanned scope"
"SYSTEM","C:\TestPermissions\Finance\Reports","NT AUTHORITY\SYSTEM","FullControl","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\Finance\Reports","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Authenticated Users","C:\TestPermissions\Finance\Reports","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\Finance\Reports","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Authenticated Users","C:\TestPermissions\Finance\Reports","NT AUTHORITY\Authenticated Users","-536805376","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\Finance\Reports","NT AUTHORITY\Authenticated Users","-536805376","Allow","Matched target against ACL identity in scanned scope"
"Administrators","C:\TestPermissions\HR\Employees","BUILTIN\Administrators","FullControl","Allow","Matched target against ACL identity in scanned scope"
"SYSTEM","C:\TestPermissions\HR\Employees","NT AUTHORITY\SYSTEM","FullControl","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\HR\Employees","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Authenticated Users","C:\TestPermissions\HR\Employees","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\HR\Employees","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","Matched target against ACL identity in scanned scope"
"Authenticated Users","C:\TestPermissions\HR\Employees","NT AUTHORITY\Authenticated Users","-536805376","Allow","Matched target against ACL identity in scanned scope"
"Users","C:\TestPermissions\HR\Employees","NT AUTHORITY\Authenticated Users","-536805376","Allow","Matched target against ACL identity in scanned scope"
