"Path","ItemType","Identity","Rights","AccessType","Inherited","InheritanceFlags","PropagationFlags"
"C:\TestPermissions","Folder","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions","Folder","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions","Folder","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions","Folder","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\TestPermissions","Folder","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\TestPermissions\Finance","Folder","Shubh\Finance Team","Modify, Synchronize","Allow","False","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Finance","Folder","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Finance","Folder","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Finance","Folder","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Finance","Folder","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\TestPermissions\Finance","Folder","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\TestPermissions\HR","Folder","Shubh\HR Team","Read, Synchronize","Allow","False","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\HR","Folder","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\HR","Folder","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\HR","Folder","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\HR","Folder","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\TestPermissions\HR","Folder","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\TestPermissions\Shared","Folder","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Shared","Folder","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Shared","Folder","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Shared","Folder","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\TestPermissions\Shared","Folder","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\TestPermissions\Finance\Payroll","Folder","Shubh\Finance Team","Modify, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Finance\Payroll","Folder","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Finance\Payroll","Folder","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Finance\Payroll","Folder","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Finance\Payroll","Folder","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\TestPermissions\Finance\Payroll","Folder","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\TestPermissions\Finance\Reports","Folder","Shubh\Finance Team","Modify, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Finance\Reports","Folder","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Finance\Reports","Folder","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Finance\Reports","Folder","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\Finance\Reports","Folder","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\TestPermissions\Finance\Reports","Folder","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\TestPermissions\HR\Employees","Folder","Shubh\HR Team","Read, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\HR\Employees","Folder","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\HR\Employees","Folder","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\HR\Employees","Folder","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\TestPermissions\HR\Employees","Folder","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\TestPermissions\HR\Employees","Folder","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
